stock_code,cluster
000001,1
000002,1
000004,1
000006,0
000007,1
000008,1
000009,1
000010,0
000011,1
000012,1
000014,1
000016,0
000017,1
000019,1
000020,1
000021,0
000025,1
000026,1
000027,1
000028,1
000029,0
000030,1
000031,1
000032,0
000034,0
000035,1
000036,0
000037,1
000039,1
000040,1
000042,0
000045,1
000048,1
000049,1
000050,0
000055,1
000056,1
000058,0
000059,1
000060,1
000061,1
000062,2
000063,0
000065,1
000066,0
000068,1
000069,1
000070,1
000078,1
000088,1
000089,1
000090,1
000096,2
000099,0
000100,1
000151,0
000153,1
000155,1
000156,1
000157,0
000158,2
000159,1
000166,0
000301,1
000333,1
000338,0
000400,1
000401,1
000402,1
000403,1
000404,1
000407,1
000408,0
000409,0
000410,1
000411,1
000415,1
000417,1
000419,0
000420,1
000421,1
000422,1
000423,1
000425,1
000426,1
000428,1
000429,0
000430,1
000488,1
000498,1
000501,0
000503,0
000504,0
000505,1
000506,2
000507,1
000509,1
000510,1
000513,1
000514,1
000516,1
000517,1
000518,1
000519,1
000520,2
000521,1
000523,1
000524,1
000525,1
000526,1
000528,0
000529,1
000530,0
000531,0
000532,1
000533,0
000534,0
000536,0
000537,1
000538,0
000539,1
000541,1
000543,1
000544,1
000545,1
000546,1
000547,1
000548,1
000550,1
000551,0
000552,1
000553,1
000554,1
000555,1
000557,1
000558,0
000559,1
000560,0
000561,1
000563,1
000564,0
000565,1
000566,0
000567,1
000568,1
000570,1
000571,1
000572,1
000573,0
000576,1
000581,0
000582,1
000584,0
000586,1
000589,1
000590,0
000591,1
000592,0
000593,1
000595,0
000596,1
000597,1
000598,1
000599,1
000600,1
000601,0
000603,1
000605,0
000607,1
000608,1
000609,0
000610,1
000612,1
000615,0
000617,1
000619,0
000620,1
000622,0
000623,1
000625,1
000626,1
000627,0
000628,1
000629,1
000630,1
000631,1
000632,1
000633,1
000635,1
000636,1
000637,1
000638,0
000639,1
000650,1
000651,1
000652,1
000655,1
000656,1
000657,1
000659,1
000661,1
000663,1
000665,0
000668,1
000669,0
000670,0
000672,1
000676,1
000677,1
000678,0
000679,0
000680,1
000681,0
000682,1
000683,1
000685,0
000686,1
000688,1
000690,1
000691,1
000692,1
000695,1
000697,1
000698,1
000700,0
000701,1
000702,0
000703,1
000705,1
000707,1
000708,1
000709,1
000710,0
000711,1
000712,1
000713,1
000715,1
000716,0
000717,1
000718,1
000719,1
000720,1
000721,1
000722,1
000723,1
000725,1
000726,1
000727,0
000728,1
000729,0
000731,1
000733,1
000735,1
000736,1
000737,1
000738,1
000739,0
000750,1
000751,1
000752,1
000753,0
000755,1
000756,1
000757,1
000758,1
000759,2
000761,1
000762,1
000766,1
000767,1
000768,1
000776,1
000777,0
000778,1
000779,1
000782,1
000783,1
000785,0
000786,1
000788,1
000789,1
000790,1
000791,1
000792,1
000793,0
000795,0
000796,1
000797,1
000798,1
000799,1
000800,1
000801,0
000802,1
000803,1
000807,1
000809,0
000810,0
000811,1
000812,1
000813,1
000815,0
000816,0
000818,0
000819,1
000820,1
000821,1
000822,1
000823,1
000825,1
000826,0
000828,1
000829,0
000830,1
000831,1
000833,2
000837,0
000838,1
000839,0
000848,1
000850,1
000851,1
000852,1
000856,0
000858,1
000859,0
000860,0
000862,1
000863,1
000868,0
000869,1
000875,1
000876,1
000877,1
000878,1
000880,2
000881,1
000882,0
000883,1
000885,1
000886,0
000887,0
000888,1
000889,0
000890,1
000892,1
000893,0
000895,0
000897,1
000898,1
000899,1
000900,1
000901,1
000902,1
000903,0
000905,0
000906,1
000908,0
000909,0
000910,1
000911,1
000912,0
000913,0
000915,1
000917,1
000919,1
000920,1
000921,1
000922,1
000923,1
000925,1
000926,1
000927,1
000928,0
000929,0
000930,1
000931,1
000932,1
000933,1
000935,1
000936,1
000937,1
000938,0
000948,0
000949,1
000950,1
000951,1
000952,1
000953,1
000955,1
000957,1
000958,0
000959,1
000960,1
000962,0
000963,1
000965,1
000966,1
000967,1
000968,1
000969,0
000970,0
000972,1
000973,0
000975,1
000977,0
000978,1
000980,0
000981,0
000983,1
000985,0
000987,1
000988,0
000989,0
000990,1
000993,1
000995,1
000997,0
000998,1
000999,1
001201,1
001202,1
001203,1
001205,1
001206,0
001207,3
001208,0
001209,1
001210,1
001211,0
001212,1
001213,1
001215,1
001216,1
001217,0
001218,1
001219,1
001222,0
001223,0
001225,1
001226,0
001227,1
001228,1
001229,1
001230,0
001231,1
001234,1
001236,1
001238,0
001255,0
001256,0
001258,0
001259,1
001260,1
001266,1
001267,0
001268,1
001269,1
001270,1
001278,1
001283,0
001288,0
001289,1
001296,0
001298,0
001299,1
001300,1
001301,0
001308,1
001309,2
001311,1
001313,0
001314,0
001316,1
001317,3
001318,1
001319,0
001322,1
001323,0
001330,1
001331,1
001332,0
001333,0
001336,1
001337,1
001338,1
001339,0
001366,1
001368,0
001696,2
001872,1
001896,1
001914,1
001965,0
001979,1
002001,0
002003,0
002004,1
002005,0
002006,0
002007,1
002008,0
002009,0
002010,1
002011,1
002012,1
002014,1
002015,1
002016,1
002017,1
002019,1
002020,1
002021,1
002022,1
002023,1
002024,1
002025,0
002026,0
002027,1
002028,0
002029,1
002030,1
002031,2
002032,1
002033,1
002034,1
002035,1
002036,0
002037,0
002038,1
002039,1
002040,1
002041,0
002042,0
002043,1
002044,1
002045,0
002046,0
002047,0
002048,1
002049,1
002050,0
002051,1
002052,2
002053,1
002054,0
002055,1
002056,1
002057,0
002058,1
002059,1
002060,1
002061,1
002062,0
002063,1
002064,1
002065,0
002066,1
002067,0
002068,0
002069,1
002072,0
002073,1
002074,1
002075,0
002076,0
002077,0
002078,1
002079,1
002080,1
002081,1
002082,0
002083,1
002084,1
002085,0
002086,0
002088,1
002090,1
002091,1
002092,1
002093,0
002094,2
002095,0
002096,1
002097,1
002098,0
002099,1
002100,1
002101,1
002102,1
002103,0
002104,1
002105,0
002106,1
002107,1
002108,1
002109,1
002110,0
002111,1
002112,0
002114,0
002115,0
002116,1
002117,0
002119,0
002120,1
002121,1
002122,0
002123,0
002124,0
002125,1
002126,0
002127,0
002128,1
002129,1
002130,2
002131,0
002132,1
002133,1
002134,2
002135,1
002136,1
002137,0
002138,1
002139,0
002140,1
002141,1
002142,1
002144,1
002145,1
002146,1
002148,0
002149,0
002150,1
002151,1
002152,1
002153,1
002154,1
002155,0
002156,0
002157,1
002158,1
002159,1
002160,1
002161,1
002162,1
002163,0
002164,0
002165,0
002166,1
002167,0
002168,1
002169,1
002170,0
002171,0
002172,1
002173,0
002174,1
002175,2
002176,1
002177,0
002178,0
002179,1
002180,1
002181,0
002182,0
002183,0
002184,0
002185,1
002186,1
002187,0
002188,1
002189,1
002190,1
002191,1
002192,1
002193,0
002194,1
002195,0
002196,0
002197,1
002198,1
002199,1
002200,1
002201,1
002202,1
002203,1
002204,1
002205,1
002206,1
002207,1
002208,0
002209,0
002210,0
002211,0
002212,0
002213,0
002214,1
002215,1
002216,1
002217,0
002218,1
002219,0
002221,0
002222,0
002223,0
002224,1
002225,0
002226,0
002227,0
002228,1
002229,1
002230,1
002231,1
002232,1
002233,1
002234,1
002235,0
002236,1
002237,1
002238,1
002239,1
002240,1
002241,0
002242,1
002243,0
002244,0
002245,0
002246,0
002247,0
002248,0
002249,1
002250,0
002251,0
002252,1
002253,0
002254,1
002255,0
002256,1
002258,1
002259,1
002261,2
002262,1
002263,1
002264,1
002265,2
002266,1
002267,1
002268,1
002269,0
002270,1
002271,1
002272,2
002273,0
002274,1
002275,1
002276,0
002277,0
002278,0
002279,0
002281,0
002282,0
002283,0
002284,1
002285,1
002286,1
002287,1
002289,0
002290,0
002291,1
002292,1
002293,1
002294,1
002295,0
002296,1
002297,1
002298,0
002299,1
002300,1
002301,0
002302,1
002303,1
002304,1
002305,1
002306,1
002307,1
002309,0
002310,1
002311,0
002312,2
002313,0
002314,1
002315,0
002316,0
002317,1
002318,1
002319,1
002320,1
002321,0
002322,1
002323,1
002324,1
002326,1
002327,1
002328,0
002329,1
002330,1
002331,1
002332,1
002333,1
002334,0
002335,0
002336,0
002337,0
002338,0
002339,1
002340,1
002342,1
002343,1
002344,1
002345,0
002346,0
002347,0
002348,0
002349,1
002350,0
002351,0
002352,1
002353,0
002354,0
002355,0
002356,1
002357,0
002358,0
002360,1
002361,0
002362,1
002363,1
002364,2
002365,1
002366,0
002367,1
002368,0
002369,2
002370,0
002371,2
002372,1
002373,1
002374,0
002375,1
002376,1
002377,1
002378,1
002379,0
002380,0
002381,1
002382,1
002383,1
002384,0
002385,1
002386,1
002387,0
002388,1
002389,1
002390,0
002391,1
002392,0
002393,1
002394,1
002395,0
002396,0
002397,0
002398,0
002399,1
002400,0
002401,1
002402,0
002403,2
002404,1
002405,1
002406,1
002407,1
002408,1
002409,0
002410,1
002412,1
002413,1
002414,1
002415,1
002416,0
002418,0
002419,1
002420,1
002421,1
002422,1
002423,0
002424,1
002425,1
002426,0
002427,1
002428,0
002429,1
002430,1
002431,1
002432,1
002434,0
002436,1
002437,1
002438,1
002439,1
002440,1
002441,0
002442,0
002443,1
002444,1
002445,0
002446,1
002448,0
002449,0
002451,1
002452,1
002453,0
002454,1
002455,0
002456,0
002457,0
002458,1
002459,1
002460,1
002461,0
002462,1
002463,0
002465,1
002466,1
002467,0
002468,0
002469,0
002470,0
002471,0
002472,0
002474,0
002475,0
